Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Cost,Profit,Payment Method,Gender,Age Group,Shipping Price,Returned,Regional Manager,State Manager,City Manager
1709,CA-2018-123491,30/10/2018,05/11/2018,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",7.42,5.371468525,2.048531475,Online,Male,26-35,10,No,William Taylor,Daniel Rodriguez,Raymond Clark
3783,CA-2018-165204,13/11/2018,16/11/2018,Second Class,MN-17935,Michael Nguyen,Consumer,United States,Memphis,Tennessee,38109,South,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",8.904,5.361652378,3.542347622,Online,Male,50+,15,Yes,Henry Carter,Zachary Robinson,George White
7322,CA-2018-167626,03/09/2018,07/09/2018,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Chicago,Illinois,60623,North,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",8.904,6.289940216,2.614059784,Credit Card,Male,50+,10,No,Thomas Torres,Nicholas Allen,Jonathan Davis
986,CA-2018-100314,29/09/2018,05/10/2018,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,77506,South,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",27.968,19.55238023,8.415619774,Credit Card,Female,18-25,10,No,Henry Carter,Jason Green,Andrew Flores
1990,CA-2016-127509,09/11/2016,13/11/2016,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,Springfield,Missouri,65807,North,OFF-EN-10000781,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",26.22,19.55754115,6.662458849,Cash,Female,50+,10,No,Thomas Torres,Jeffrey Allen,Robert Hill
2447,CA-2016-100573,25/09/2016,01/10/2016,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Los Angeles,California,90004,West,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,11.3946348,6.085365199,Cash,Male,50+,10,No,William Taylor,Daniel Rodriguez,Samuel Hill
2949,CA-2018-169859,14/12/2018,18/12/2018,Standard Class,MP-18175,Mike Pelletier,Home Office,United States,San Diego,California,92024,West,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",43.7,29.44751393,14.25248607,Credit Card,Male,50+,10,No,William Taylor,Daniel Rodriguez,Joshua Garcia
4379,CA-2016-140830,30/11/2016,02/12/2016,Second Class,PS-18970,Paul Stevenson,Home Office,United States,Henderson,Kentucky,42420,South,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,10.99606212,6.483937883,Cash,Female,50+,15,No,Henry Carter,Nathan Allen,Robert Williams
4993,CA-2016-153038,18/12/2016,25/12/2016,Standard Class,RB-19645,Robert Barroso,Corporate,United States,Memphis,Tennessee,38109,South,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",55.936,37.38360746,18.55239254,Bank Transfer,Female,50+,10,No,Henry Carter,Zachary Robinson,George White
5217,US-2018-159562,09/09/2018,15/09/2018,Standard Class,JB-16000,Joy Bell-,Consumer,United States,Roseville,Michigan,48066,North,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,12.04222896,5.43777104,Online,Female,18-25,10,No,Thomas Torres,Ronald Campbell,Patrick Green
